,image,username,clusterid,1d,2d,img_url,centroid
223,stopitrach_61.jpg,stopitrach,2,-2.376781,2.4153185,https://drive.google.com/uc?export=view&id=1lVOzdybcrdDpPYO7KOJzwR9pqDRLtzGz,0
224,stopitrach_59.jpg,stopitrach,2,-3.078213,0.9251147,https://drive.google.com/uc?export=view&id=1lUQVQDch0b1os_usg4dLQtlZvP725kRG,0
225,stopitrach_58.jpg,stopitrach,0,-1.9425023,1.6157875,https://drive.google.com/uc?export=view&id=1lTfcKIx6eFSDNJbgnKj4TbgBfZBALioP,0
226,stopitrach_60.jpg,stopitrach,3,1.5336949,1.651689,https://drive.google.com/uc?export=view&id=1nJaPsWAZQUHPxdS9VqFM9Yql4U82zbT1,0
227,stopitrach_57.jpg,stopitrach,1,-0.9546467,-2.2860162,https://drive.google.com/uc?export=view&id=1nIhSU7SiHytLHrLQBifJ7Q88PmM9CZvg,0
228,stopitrach_63.jpg,stopitrach,4,-0.16983251,-2.3053143,https://drive.google.com/uc?export=view&id=1nH5fGKbnMZ_P-uX6FWFYd6dvafB08uoe,0
229,stopitrach_55.jpg,stopitrach,0,-1.0733365,1.5003664,https://drive.google.com/uc?export=view&id=1nGLgok3MFYmY_YhoJvbVIBDN1f6ePFjg,0
230,stopitrach_52.jpg,stopitrach,0,-1.7481208,2.8045638,https://drive.google.com/uc?export=view&id=1nDQfpd4aHbBUIKiRxzakPlY_DIBiVhKl,0
231,stopitrach_56.jpg,stopitrach,0,-2.3376627,1.7069128,https://drive.google.com/uc?export=view&id=1n9j1owCOk8QVFZlFtD5K7SktSyJsb2_U,0
232,stopitrach_51.jpg,stopitrach,0,-1.3125532,0.047891576,https://drive.google.com/uc?export=view&id=1n1BVfSHTegDNy2n-u65pYILqAk4IvVNa,0
233,stopitrach_50.jpg,stopitrach,2,-3.844117,0.5552114,https://drive.google.com/uc?export=view&id=1mymrSHiRyrXbXjKBIp0uU2AbroU0nYFn,0
234,stopitrach_47.jpg,stopitrach,0,-0.35199624,0.6699231,https://drive.google.com/uc?export=view&id=1moscsgA8wt2mB0Y3dfNjOQfwKfhMFV_4,0
235,stopitrach_64.jpg,stopitrach,2,-1.743057,-0.10660206,https://drive.google.com/uc?export=view&id=1morX5mFeReaHYA2PyVBDsbj53JUzP99g,0
236,stopitrach_48.jpg,stopitrach,2,-3.3144853,1.0226352,https://drive.google.com/uc?export=view&id=1mgBiyfGxSEgpD9lwYLRuC_7n5Uq11EcX,0
237,stopitrach_62.jpg,stopitrach,1,-2.4878361,-0.85175025,https://drive.google.com/uc?export=view&id=1mgB2ZiwrwDsQtLilzbTQDRyFSCE2rcRc,0
238,stopitrach_53.jpg,stopitrach,1,-0.15031594,-3.5026312,https://drive.google.com/uc?export=view&id=1mfn20HHCrQmkBdWQHTqy0MYBVlPXAhct,0
239,stopitrach_66.jpg,stopitrach,2,-2.397365,0.30046296,https://drive.google.com/uc?export=view&id=1mHRxo8YAE9NqKRNB2WFuI1cEp8mBSPb3,0
240,elizachong_85.jpg,elizachong,1,-0.87762505,-1.3320477,https://drive.google.com/uc?export=view&id=1mFvlejDn9Au27rRjADRyaqRYBlYTnUXt,0
241,elizachong_82.jpg,elizachong,3,0.17783104,-1.1394182,https://drive.google.com/uc?export=view&id=1ntP77onwMsVJof57NnYPiIerK6TSpHQc,0
242,stopitrach_69.jpg,stopitrach,0,-1.0840555,0.5255245,https://drive.google.com/uc?export=view&id=1nsdQhG6DMRT1am4y_iVQCHl1S9DXQsuh,0
243,elizachong_83.jpg,elizachong,1,-1.2443675,-0.5141081,https://drive.google.com/uc?export=view&id=1notCOpWSepEWPkdVFxRV33ctyoAAi92W,1
244,elizachong_78.jpg,elizachong,1,-1.3433592,-0.8819161,https://drive.google.com/uc?export=view&id=1nmlfpeG_4y8km4t1iM3lquXbfTSIchtB,0
245,stopitrach_68.jpg,stopitrach,1,-1.2932502,-2.0844405,https://drive.google.com/uc?export=view&id=1njFagmd-77sNdEy-XwxsC27EGLAuoAcB,0
246,elizachong_74.jpg,elizachong,0,-2.2952065,1.773678,https://drive.google.com/uc?export=view&id=1niL26yesr9RJkxqu9rc8tpJe7_KtXn9w,0
247,elizachong_77.jpg,elizachong,1,0.8111879,-1.7296666,https://drive.google.com/uc?export=view&id=1ng4Iv4Q3QyDUZvKJZ0w2YGDaGrLIKYz8,0
248,elizachong_80.jpg,elizachong,1,-2.6723745,1.0745622,https://drive.google.com/uc?export=view&id=1ng33xZXf2tJ0WThwAy5sjtKuLWHZAJOD,0
249,elizachong_84.jpg,elizachong,0,-1.5712693,-0.033226784,https://drive.google.com/uc?export=view&id=1nan7dX3G3xiXhAN4PposbgoMU2RfVAiG,0
250,elizachong_79.jpg,elizachong,3,1.5833344,-1.1568981,https://drive.google.com/uc?export=view&id=1naIOYs5gZ0N9K9c3LoaVAGv1djoYINkr,0
251,elizachong_87.jpg,elizachong,0,-0.86584586,-0.4865013,https://drive.google.com/uc?export=view&id=1nY4JI1fmkX6ohtGi1hT6vHrQiYpF01_W,0
252,stopitrach_67.jpg,stopitrach,1,-3.026263,-0.96479464,https://drive.google.com/uc?export=view&id=1nRAJnCfaGA5gPexMNzED0pIshdqcrqwD,0
253,elizachong_81.jpg,elizachong,1,-1.0138614,-2.8384948,https://drive.google.com/uc?export=view&id=1nQowEFJf6IxJdG8U4yQ_RRScbreVmPAf,0
254,elizachong_75.jpg,elizachong,0,-1.1637597,-0.1733291,https://drive.google.com/uc?export=view&id=1nOC7om59T1ypHyAjhwoLJ0kkY22BntuI,0
255,elizachong_76.jpg,elizachong,0,-1.2975805,0.6101154,https://drive.google.com/uc?export=view&id=1nMOcoxvSHOJVWap4dNCAqrkilQl5ii9J,0
256,elizachong_72.jpg,elizachong,0,-0.8426079,1.6177374,https://drive.google.com/uc?export=view&id=1p5BQ4pE_9tTZF7_73a7jRZ5zM99MKcds,0
257,elizachong_94.jpg,elizachong,1,-0.9994946,-0.70992005,https://drive.google.com/uc?export=view&id=1p4ISQAd-1EtgB_AVuSn3ELeccBLAzc87,0
258,elizachong_89.jpg,elizachong,3,0.47188342,-0.36483803,https://drive.google.com/uc?export=view&id=1p0dUAgRn12vax7yXpxagldoTbIEc9zxM,0
259,elizachong_91.jpg,elizachong,1,-0.5965734,-2.6795912,https://drive.google.com/uc?export=view&id=1p0_kKsBaLIh30qt-lpT6SAmYsPDVqK16,0
260,elizachong_90.jpg,elizachong,1,-0.43885761,-1.774521,https://drive.google.com/uc?export=view&id=1p-0SdDGAwcqA3Pa0qpB0qWDTBWduFslv,0
261,elizachong_88.jpg,elizachong,1,0.04066884,-0.63921547,https://drive.google.com/uc?export=view&id=1oyVYs_FaxP_mRx9BjLIIRcVC1BShOhKl,0
262,gillianyoong_133.jpg,gillianyoong,0,-1.6796905,0.757609,https://drive.google.com/uc?export=view&id=1oyRGzezhtDR5kXFcYX1XPDKxlHdBSp3b,0
263,gillianyoong_134.jpg,gillianyoong,1,-1.1501155,-0.19332705,https://drive.google.com/uc?export=view&id=1oci4gLIU0w0ZajYSS8gczofkA7jWuPNn,0
264,gillianyoong_131.jpg,gillianyoong,0,-1.4607157,1.990208,https://drive.google.com/uc?export=view&id=1oXXldu195a6NpnW5oxQ8812OVRuV-sQM,0
265,gillianyoong_130.jpg,gillianyoong,0,-0.46596396,0.2883403,https://drive.google.com/uc?export=view&id=1oRvyGSPA8a4HRYsVXvBzrxp1-APDn30L,0
266,gillianyoong_129.jpg,gillianyoong,0,-1.4526983,1.4518435,https://drive.google.com/uc?export=view&id=1oMFNi8vrUm2Z8XiSdiZXk2IG7cOnfw6a,0
267,gillianyoong_136.jpg,gillianyoong,0,0.7638736,0.21937783,https://drive.google.com/uc?export=view&id=1oM8RzccKS7CyEZuHEKLcQy5hqUkouGwA,0
268,gillianyoong_137.jpg,gillianyoong,0,-1.0578222,1.278244,https://drive.google.com/uc?export=view&id=1o5Fh-A_Pfk8VtlUSHT0YAVe5AtAEGta0,0
